0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071
1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475
1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693
3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846
2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989
2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971
2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526
3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400
2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224
2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654
2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045
2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522
1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042
2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519
2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851
2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106
2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653
1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859
3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141
2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243
3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040
2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832
2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786
2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025
742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363
3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104
298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693
3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769
1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289
1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148
2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488
1693,2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088
2810,2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501
2251,1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929
1807,545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475
545,3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063
3073,1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417
1840,114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905
114,1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577
1784,2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709
2586,2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597
2071,1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016
1475,1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810
1693,3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284
3846,2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371
2989,1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594
1971,526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972
526,2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063
2400,2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338
2224,654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096
654,3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634
3045,522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442
522,3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345
3042,2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242
2519,3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581
3851,106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703
106,1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582
1653,1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350
1859,2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727
2141,1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602
1243,4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399
4040,832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463
832,2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49
2786,3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31
3025,3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734
3363,3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196
3104,2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602
2693,2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579
2769,3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586
3289,1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581
1148,488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356
488,2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901
2088,3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232
3501,2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974
2929,475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338
475,2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990
2063,417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207
417,3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729
3905,1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822
1577,1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425
1709,3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910
3597,1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068
1016,1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818
1810,284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648
284,3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228
3371,2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575
2594,3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392
3972,1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982
1063,2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982,1423
2338,2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982,1423,2287
2096,634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982,1423,2287,1836
634,1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982,1423,2287,1836,2103
1442,1345,3242,2581,1703,2582,1350,2727,2602,399,463,49,31,2734,2196,3602,2579,1586,1581,2356,901,2232,2974,2338,2990,2207,2729,2822,2425,1910,2068,818,1648,2228,2575,392,2982,1423,2287,1836,2103,3536
